ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile,Meaning,Sense_ID,Entry_ID
Daakaka-90_tree-2,,Daakaka,90_tree,lee,lee,,,vonPrince2017,,,,,tree; wood; wooden stick,SN000740,
Daakaka-90_tree-3,,Daakaka,90_tree,vi,vi,,,vonPrince2017,,,,,white man; new; young; tree,SN001945,
Daakaka-91_two-1,,Daakaka,91_two,-kote,-kote,,,vonPrince2017,,,,,in two [resultative suffix],SN000659,
Daakaka-91_two-2,,Daakaka,91_two,ló,ló,,,vonPrince2017,,,,,two,SN000839,
Daakaka-91_two-3,,Daakaka,91_two,tu,tu,,,vonPrince2017,,,,,[distal]; throw something to someone ; throw; attack; too; hit; hit the tamtam; two,SN001812,
Daakaka-92_walk-1,,Daakaka,92_walk,oko,oko,,,vonPrince2017,,,,,walk; move towards a certain direction without the help of a vehicle ; walk; travel,SN001145,
Daakaka-94_water-1,,Daakaka,94_water,wye,wye,,,vonPrince2017,,,,,(fresh) water,SN002110,
Daakaka-96_what-1,,Daakaka,96_what,sewe,sewe,,,vonPrince2017,,,,,what; which,SN001433,
Daakaka-96_what-2,,Daakaka,96_what,-vi,-vi,,,vonPrince2017,,,,,what,SN001946,
Daakaka-97_white-1,,Daakaka,97_white,pe-pyo,pe-pyo,,,vonPrince2017,,,,,white (reduplication),SN001217,
Daakaka-97_white-2,,Daakaka,97_white,pyó,pyó,,,vonPrince2017,,,,,white,SN001328,
Daakaka-98_who-1,,Daakaka,98_who,si,si,,,vonPrince2017,,,,,who; [first person paucal inclusive],SN001437,
Daakaka-98_who-2,,Daakaka,98_who,siye,siye,,,vonPrince2017,,,,,who,SN001490,
Daakaka-99_woman-1,,Daakaka,99_woman,vyaven,vyaven,,,vonPrince2017,,,,,woman; wife,SN001993,
Daakaka-100_yellow-1,,Daakaka,100_yellow,ngunguo,ngunguo,,,vonPrince2017,,,,,yellow,SN001098,
