ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile,Meaning,Sense_ID,Entry_ID
Amahuaca-21_ear-1,,Amahuaca,21_ear,pavínqui,pavínqui,p a v í n q u i,,Hyde1980,,,^ p a v í n q u i $,default,oreja,oreja-1,1405-pavinqui
Amahuaca-22_earthsoil-1,,Amahuaca,22_earthsoil,maí,maí,m a í,,Hyde1980,,,^ m a í $,default,tierra,tierra-1,1977-mai
Amahuaca-22_earthsoil-2,,Amahuaca,22_earthsoil,nutú,nutú,n u t ú,,Hyde1980,,,^ n u t ú $,default,día; luz; tierra,tierra-2,1978-nutu
Amahuaca-23_eat-1,,Amahuaca,23_eat,cócoquín,cócoquín,k ó k o q u í n,,Hyde1980,,,^ c ó c o q u í n $,default,comer,comer-1,509-cocoquin
Amahuaca-23_eat-2,,Amahuaca,23_eat,háqui,háqui,h á q u i,,Hyde1980,,,^ h á q u i $,default,hacer; comer; usar,comer-2,510-haqui
Amahuaca-23_eat-3,,Amahuaca,23_eat,jírihí,jírihí,j í r i h í,,Hyde1980,,,^ j í r i h í $,default,comer,comer-3,511-jirihi
Amahuaca-23_eat-4,,Amahuaca,23_eat,mócoquín,mócoquín,m ó k o q u í n,,Hyde1980,,,^ m ó c o q u í n $,default,comer,comer-4,512-mocoquin
Amahuaca-23_eat-5,,Amahuaca,23_eat,náihí,náihí,n á i h í,,Hyde1980,,,^ n á i h í $,default,comer,comer-5,513-naihi
Amahuaca-23_eat-6,,Amahuaca,23_eat,píquin,píquin,p í q u i n,,Hyde1980,,,^ p í q u i n $,default,comer,comer-6,514-piquin
Amahuaca-24_egg-1,,Amahuaca,24_egg,vachí,vachí,v a tʃ í,,Hyde1980,,,^ v a ch í $,default,falda; huevo; mosquitero; pampanilla,huevo-1,1069-vachi
Amahuaca-25_eye-1,,Amahuaca,25_eye,vúro,vúro,v ú r o,,Hyde1980,,,^ v ú r o $,default,ojo; semilla,ojo-1,1392-vuro
Amahuaca-27_feather-1,,Amahuaca,27_feather,púhi,púhi,p ú h i,,Hyde1980,,,^ p ú h i $,default,hoja; pluma,pluma-1,1605-puhi
Amahuaca-28_fire-1,,Amahuaca,28_fire,chíhi,chíhi,tʃ í h i,,Hyde1980,,,^ ch í h i $,default,candela; fuego,fuego-1,925-chihi
Amahuaca-28_fire-2,,Amahuaca,28_fire,júruu,júruu,j ú r uː,,Hyde1980,,,^ j ú r uu $,default,fuego,fuego-2,926-juruu
Amahuaca-53_fleshormeat-1,,Amahuaca,53_fleshormeat,námi,námi,n á m i,,Hyde1980,,,^ n á m i $,default,carne; pariente,carne-1,424-nami
Amahuaca-31_foot-1,,Amahuaca,31_foot,táhu,táhu,t á h u,,Hyde1980,,,^ t á h u $,default,pie,pie-1,1562-tahu
Amahuaca-32_full-1,,Amahuaca,32_full,vópa,vópa,v ó p a,,Hyde1980,,,^ v ó p a $,default,lleno,lleno-1,1201-vopa
Amahuaca-32_full-2,,Amahuaca,32_full,yaní,yaní,j a n í,,Hyde1980,,,^ y a n í $,default,lleno; satisfecho,lleno-2,1202-yani
Amahuaca-33_give-1,,Amahuaca,33_give,hínanquín,hínanquín,h í n a n q u í n,,Hyde1980,,,^ h í n a n q u í n $,default,dar,dar-1,652-hinanquin
Amahuaca-33_give-2,,Amahuaca,33_give,humanquín,humanquín,h u m a n q u í n,,Hyde1980,,,^ h u m a n q u í n $,default,dar,dar-2,653-humanquin
Amahuaca-34_good-1,,Amahuaca,34_good,sháraa,sháraa,ʃ á r aː,,Hyde1980,,,^ sh á r aa $,default,bonito; bueno,bueno-1,331-sharaa
Amahuaca-34_good-2,,Amahuaca,34_good,shínanyá,shínanyá,ʃ í n a n j á,,Hyde1980,,,^ sh í n a n y á $,default,amable; bueno,bueno-2,332-shinanya
Amahuaca-35_green-1,,Amahuaca,35_green,macó,macó,m a k ó,,Hyde1980,,,^ m a c ó $,default,tierno; verde,verde-1,2090-maco
Amahuaca-35_green-2,,Amahuaca,35_green,mápax,mápax,m á p a x,,Hyde1980,,,^ m á p a x $,default,verde,verde-2,2091-mapax
Amahuaca-35_green-3,,Amahuaca,35_green,xóó,xóó,x óː,,Hyde1980,,,^ x óó $,default,tierno; verde,verde-3,2092-xoo
Amahuaca-35_green-4,,Amahuaca,35_green,xóvii,xóvii,x ó v iː,,Hyde1980,,,^ x ó v ii $,default,canal; hueco; tierno; verde,verde-4,2093-xovii
Amahuaca-36_hair-1,,Amahuaca,36_hair,vóó,vóó,v óː,,Hyde1980,,,^ v óó $,default,cabello; pelo,pelo-1,1518-voo
Amahuaca-36_hair-2,,Amahuaca,36_hair,píshcan-ránti,píshcan-ránti,p í ʃ k a n + r á n t i,,Hyde1980,,,^ p í sh c a n - r á n t i $,default,pelo,pelo-2,1519-pishcanranti
Amahuaca-37_hand-1,,Amahuaca,37_hand,múcun,múcun,m ú k u n,,Hyde1980,,,^ m ú c u n $,default,dedos; mano,mano-1,1253-mucun
Amahuaca-38_head-1,,Amahuaca,38_head,mápo,mápo,m á p o,,Hyde1980,,,^ m á p o $,default,cabeza,cabeza-1,344-mapo
Amahuaca-39_hear-1,,Amahuaca,39_hear,níncaaquín,níncaaquín,n í n k aː q u í n,,Hyde1980,,,^ n í n c aa q u í n $,default,entender; escuchar; obedecer; oír,oir-1,1390-nincaaquin
Amahuaca-40_heart-1,,Amahuaca,40_heart,jóvintí,jóvintí,j ó v i n t í,,Hyde1980,,,^ j ó v i n t í $,default,corazón,corazon-1,541-jovinti
Amahuaca-41_hornanatomy-1,,Amahuaca,41_hornanatomy,manxo,manxo,m a n x o,,Hyde1980,,,^ m a n x o $,default,cuerno,cuerno-1,593-manxo
Amahuaca-93_hotorwarm-1,,Amahuaca,93_hotorwarm,hítziz,hítziz,h í t z i z,,Hyde1980,,,^ h í t z i z $,default,caliente,caliente-1,364-hitziz
Amahuaca-42_i-1,,Amahuaca,42_i,hún,hún,h ú n,,Hyde1980,,,^ h ú n $,default,yo,yo-1,2126-hun
Amahuaca-43_kill-1,,Amahuaca,43_kill,hayánquin,hayánquin,h a j á n q u i n,,Hyde1980,,,^ h a y á n q u i n $,default,matar,matar-1,1275-hayanquin
Amahuaca-43_kill-2,,Amahuaca,43_kill,rútuquín,rútuquín,r ú t u q u í n,,Hyde1980,,,^ r ú t u q u í n $,default,matar,matar-2,1276-rutuquin
Amahuaca-44_knee-1,,Amahuaca,44_knee,rántoncó,rántoncó,r á n t o n k ó,,Hyde1980,,,^ r á n t o n c ó $,default,rodilla,rodilla-1,1756-rantonco
Amahuaca-45_knowsomething-1,,Amahuaca,45_knowsomething,honanhí,honanhí,h o n a n h í,,Hyde1980,,,^ h o n a nh í $,default,saber,saber-1,1771-honanhi
Amahuaca-46_leaf-1,,Amahuaca,46_leaf,púhi,púhi,p ú h i,,Hyde1980,,,^ p ú h i $,default,hoja; pluma,hoja-1,1041-puhi
Amahuaca-47_lierest-1,,Amahuaca,47_lierest,jóvinhí,jóvinhí,j ó v i n h í,,Hyde1980,,,^ j ó v i nh í $,default,descansar,descansar-1,689-jovinhi
Amahuaca-48_liver-1,,Amahuaca,48_liver,tacá,tacá,t a k á,,Hyde1980,,,^ t a c á $,default,hígado,higado-1,1027-taca
Amahuaca-49_long-1,,Amahuaca,49_long,chaíí,chaíí,tʃ a íː,,Hyde1980,,,^ ch a íí $,default,alto; largo,largo-1,1140-chaii
Amahuaca-50_louse-1,,Amahuaca,50_louse,híya,híya,h í j a,,Hyde1980,,,^ h í y a $,default,me; mí; piojo; pulga,piojo-1,1584-hiya
Amahuaca-51_man-1,,Amahuaca,51_man,jochí,jochí,j o tʃ í,,Hyde1980,,,^ j o ch í $,default,hermano mayor; hombre,hombre-1,1042-jochi
Amahuaca-51_man-2,,Amahuaca,51_man,joní,joní,j o n í,,Hyde1980,,,^ j o n í $,default,hombre,hombre-2,1043-joni
Amahuaca-52_many-1,,Amahuaca,52_many,cáhtin,cáhtin,k á h t i n,,Hyde1980,,,^ c á h t i n $,default,mucho,mucho-1,1338-cahtin
Amahuaca-52_many-2,,Amahuaca,52_many,hicha,hicha,h i tʃ a,,Hyde1980,,,^ h i ch a $,default,mucho,mucho-2,1339-hicha
Amahuaca-52_many-3,,Amahuaca,52_many,náha,náha,n á h a,,Hyde1980,,,^ n á h a $,default,bastante; mucho; nido,mucho-3,1340-naha
Amahuaca-54_moon-1,,Amahuaca,54_moon,hóxu,hóxu,h ó x u,,Hyde1980,,,^ h ó x u $,default,luna; mes,luna-1,1188-hoxu
Amahuaca-55_mountain-1,,Amahuaca,55_mountain,cárunnáha,cárunnáha,k á r u n á h a,,Hyde1980,,,^ c á r u nn á h a $,default,cerro,cerro-1,465-carunnaha
Amahuaca-55_mountain-2,,Amahuaca,55_mountain,máchi,máchi,m á tʃ i,,Hyde1980,,,^ m á ch i $,default,cerro,cerro-2,466-machi
Amahuaca-55_mountain-3,,Amahuaca,55_mountain,mánan,mánan,m á n a n,,Hyde1980,,,^ m á n a n $,default,cerro,cerro-3,467-manan
Amahuaca-56_mouth-1,,Amahuaca,56_mouth,cúxaa,cúxaa,k ú x aː,,Hyde1980,,,^ c ú x aa $,default,boca; labio,boca-1,297-cuxaa
Amahuaca-57_name-1,,Amahuaca,57_name,jánu,jánu,j á n u,,Hyde1980,,,^ j á n u $,default,aroma; nombre,nombre-1,1375-janu
Amahuaca-58_neck-1,,Amahuaca,58_neck,túxo,túxo,t ú x o,,Hyde1980,,,^ t ú x o $,default,cuello,cuello-1,591-tuxo
Amahuaca-59_new-1,,Amahuaca,59_new,vúnaa,vúnaa,v ú n aː,,Hyde1980,,,^ v ú n aa $,default,nuevo,nuevo-1,1383-vunaa
Amahuaca-60_night-1,,Amahuaca,60_night,yámuu,yámuu,j á m uː,,Hyde1980,,,^ y á m uu $,default,noche,noche-1,1374-yamuu
Amahuaca-61_nose-1,,Amahuaca,61_nose,rúquin,rúquin,r ú q u i n,,Hyde1980,,,^ r ú q u i n $,default,nariz,nariz-1,1358-ruquin
Amahuaca-65_rainingorrain-1,,Amahuaca,65_rainingorrain,hovíhqui,hovíhqui,h o v í h q u i,,Hyde1980,,,^ h o v í h q u i $,default,llover,llover-1,1211-hovihqui
Amahuaca-66_red-1,,Amahuaca,66_red,vínshin,vínshin,v í n ʃ i n,,Hyde1980,,,^ v í n sh i n $,default,rojo,rojo-1,1757-vinshin
